frame_idx	adl_rng_0	adl_vel_0	adl_agl_0	adl_type_0	adl_rng_1	adl_vel_1	adl_agl_1	adl_type_1	adl_rng_2	adl_vel_2	adl_agl_2	adl_type_2
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0	0
3	0	0	0	0	0	0	0	0	0	0	0	0
4	0	0	0	0	0	0	0	0	0	0	0	0
5	0	0	0	0	0	0	0	0	0	0	0	0
6	0	0	0	0	0	0	0	0	0	0	0	0
7	0	0	0	0	0	0	0	0	0	0	0	0
8	0	0	0	0	0	0	0	0	0	0	0	0
9	0	0	0	0	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0	0	0	0	0
11	0	0	0	0	0	0	0	0	0	0	0	0
12	0	0	0	0	0	0	0	0	0	0	0	0
13	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0
15	0	0	0	0	0	0	0	0	0	0	0	0
16	0	0	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	0	0	0	0	0	0	0	0
18	0	0	0	0	0	0	0	0	0	0	0	0
19	0	0	0	0	0	0	0	0	0	0	0	0
20	0	0	0	0	0	0	0	0	0	0	0	0
21	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0
23	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0	0	0	0	0	0
25	0	0	0	0	0	0	0	0	0	0	0	0
26	0	0	0	0	0	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0	0	0	0	0	0
29	0.64748	-0.21646	8.12	0	0	0	0	0	0	0	0	0
30	0.62186	0	-12.14	0	0	0	0	0	0	0	0	0
31	0.61093	0	-34.85125	0	0	0	0	0	0	0	0	0
32	0.60484	0	-43.06938	0	0	0	0	0	0	0	0	0
33	0.60162	0	-34.02219	0	0	0	0	0	0	0	0	0
34	0.6	0	-27.4625	0	0	0	0	0	0	0	0	0
35	0.6	0	-21.9625	0	0	0	0	0	0	0	0	0
36	0.615	0.25	-14.9875	0	0	0	0	0	0	0	0	0
37	0.6375	0.25	-8.375	0	0	0	0	0	0	0	0	0
38	0.67875	0.5	-13.3625	0	0	0	0	0	0	0	0	0
39	0.72938	0.5	-12.5375	0	0	0	0	0	0	0	0	0
40	0.78562	0.25	-9.2625	0	0	0	0	0	0	0	0	0
41	0.82875	0.25	-4.675	0	0	0	0	0	0	0	0	0
42	0.88125	0.25	0.7875	0	0	0	0	0	0	0	0	0
43	0.9225	0.25	7.7	0	0	0	0	0	0	0	0	0
44	0.95812	0.25	13.825	0	0	0	0	0	0	0	0	0
45	1.005	0.5	19.8	0	0	0	0	0	0	0	0	0
46	1.07437	0.5	25.0375	0	0	0	0	0	0	0	0	0
47	1.18312	1.25	29.4375	0	0	0	0	0	0	0	0	0
48	1.2825	0.75	31.9875	0	0	0	0	0	0	0	0	0
49	1.39312	0.75	34.275	0	0	0	0	0	0	0	0	0
50	1.50938	0.75	35.975	0	0	0	0	0	0	0	0	0
51	1.62938	0.25	37	0	0	0	0	0	0	0	0	0
52	1.7175	1	37.825	0	0	0	0	0	0	0	0	0
53	1.8375	1	39.275	0	0	0	0	0	0	0	0	0
54	1.9275	0.25	40.375	0	0	0	0	0	0	0	0	0
55	1.9875	0	41	0	0	0	0	0	0	0	0	0
56	2.12062	1.5	41.325	0	0	0	0	0	0	0	0	0
57	2.28	1.25	40.725	0	0	0	0	0	0	0	0	0
58	2.44688	2	39.9875	0	0	0	0	0	0	0	0	0
59	2.64938	2	39	0	0	0	0	0	0	0	0	0
60	2.87625	0.25	38.7	0	0	0	0	0	0	0	0	0
61	3.04875	1	38.4	0	0	0	0	0	0	0	0	0
62	3.195	0.75	38.675	0	0	0	0	0	0	0	0	0
63	3.285	0.25	38.9	0	0	0	0	0	0	0	0	0
64	3.345	0.25	39.4625	0	0	0	0	0	0	0	0	0
65	3.41625	0	40.125	0	0	0	0	0	0	0	0	0
66	3.43687	-0.25	40.1875	0	0	0	0	0	0	0	0	0
67	3.47438	1	39.5	0	0	0	0	0	0	0	0	0
68	3.55312	1	38.575	0	0	0	0	0	0	0	0	0
69	3.65438	0.5	37.7125	0	0	0	0	0	0	0	0	0
70	3.74625	1	36.0375	0	0	0	0	0	0	0	0	0
71	3.87	0.5	34.675	0	0	0	0	0	0	0	0	0
72	3.96375	0.5	33.7	0	0	0	0	0	0	0	0	0
73	4.04062	0.5	32.725	0	0	0	0	0	0	0	0	0
74	4.09312	0	31.5875	0	0	0	0	0	0	0	0	0
75	4.12125	-0.25	30.9625	0	0	0	0	0	0	0	0	0
76	4.1625	0.5	30.1625	0	0	0	0	0	0	0	0	0
77	4.18313	0	29.05	0	0	0	0	0	0	0	0	0
78	4.1925	0.25	27.9875	0	0	0	0	0	0	0	0	0
